2.500000000000000139e-02 2.296389264249053527e-14 7.417866692511531746e-15 3.169486245791494788e-12 3.542034696110883820e-12
7.500000000000001110e-02 8.593869948641409396e-14 1.869543637950060982e-14 1.190360547164543064e-11 7.967974882323397521e-12
1.250000000000000000e-01 1.424605653864455130e-13 1.803204992732478180e-14 1.529087009820171693e-11 4.518351929262582389e-12
1.750000000000000167e-01 1.613637288368294708e-13 1.903048004221567436e-14 1.845116944676156499e-11 2.780768588309476672e-12
2.250000000000000056e-01 1.439548601221547108e-13 1.531819625933275718e-14 2.290077711730827209e-11 2.236724688792754924e-12
2.750000000000000222e-01 1.555942769648760528e-13 1.245022250649180395e-14 2.511160293097315019e-11 1.928665442672761331e-12
3.250000000000000666e-01 1.542876066802872967e-13 1.449398884905369792e-14 2.685237588759530346e-11 1.814060407404446341e-12
3.750000000000000555e-01 1.485181548083338788e-13 1.257083822506922737e-14 2.807920526735905719e-11 1.770471226885216437e-12
4.250000000000000444e-01 1.464810893390262874e-13 1.482233163851446141e-14 2.980839241412452350e-11 1.620163938917984153e-12
4.750000000000000333e-01 1.402693798322889820e-13 1.319401943771924759e-14 3.106551644187097044e-11 1.473903978396349758e-12
5.250000000000000222e-01 1.428894212747208047e-13 1.551922245696179779e-14 3.162321002020670537e-11 1.342171511090040545e-12
5.750000000000000666e-01 1.302247708240913439e-13 1.059408061505034536e-14 3.172382363212003557e-11 1.198853233927044575e-12
6.250000000000001110e-01 1.366643100214749035e-13 1.141158715207510358e-14 3.144840433962174942e-11 1.113061953652224972e-12
6.750000000000000444e-01 1.242006857684744801e-13 1.112344960214014789e-14 3.104725656225300052e-11 1.059870421759581393e-12
7.250000000000000888e-01 1.177142404583108227e-13 1.110334698237724477e-14 3.059302446696367841e-11 9.637597966731379502e-13
7.750000000000000222e-01 1.113953169795047133e-13 1.152550199739822596e-14 2.996688816920851303e-11 9.144681730144975312e-13
8.250000000000000666e-01 1.034078760603775728e-13 8.677630864320175845e-15 2.882340425098175936e-11 8.045872533904649347e-13
8.750000000000001110e-01 9.770543292096717149e-14 7.169934382102383864e-15 2.775193461761898249e-11 7.072905737380101991e-13
9.250000000000000444e-01 9.192928017575945565e-14 7.270447480916904171e-15 2.649247868598003489e-11 6.924146351134612757e-13
9.750000000000000888e-01 8.960407715651690387e-14 8.268877595807796735e-15 2.508109385504631743e-11 6.451533760508742639e-13
1.024999999999999911e+00 8.648817109326679802e-14 7.009113423999153425e-15 2.370800451476093113e-11 6.086604203079494401e-13
1.074999999999999956e+00 8.360009472066294641e-14 6.982309930981948483e-15 2.224301269779280071e-11 5.353126616663674293e-13
1.125000000000000000e+00 8.363359908693444845e-14 6.995711677490550559e-15 2.073106116105852851e-11 5.078591839434951069e-13
1.175000000000000044e+00 7.683891360707293692e-14 6.888497705421730003e-15 1.931174919706497328e-11 4.756011800972886656e-13
1.225000000000000089e+00 7.042617790270659405e-14 7.364259706477121862e-15 1.774037431631155691e-11 4.513306171702093395e-13
1.274999999999999911e+00 6.947465390059581506e-14 5.769451871953414018e-15 1.622866401101443929e-11 4.172298731790700843e-13
1.324999999999999956e+00 6.702883516277583829e-14 5.132868912794790931e-15 1.471933251572259781e-11 3.824121357497205643e-13
